Player,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,labels
Bill Hosket,0.65,0.15,0.8,0.11,-1.75,-0.25,-1.85,0.0,68.0,135.5,0.51,7.5,25.0,0.2,68.0,135.5,0.51,0.51,26.5,34.5,0.73,50.5,118.5,99.0,29.0,27.5,19.5,14.0,53.0,162.5,0
Bill Jones,0.3,0.3,0.6,0.09,-1.4,0.1,-1.3,0.1,50.0,102.0,0.49,0.0,1.0,0.0,50.0,101.0,0.5,0.49,29.0,43.0,0.67,20.0,27.0,47.0,20.0,17.0,6.0,18.0,38.0,129.0,0
Bill Laimbeer,3.69,3.19,6.89,0.14,0.18,1.35,1.51,2.22,364.94,733.38,0.5,12.88,39.5,0.27,352.06,693.88,0.51,0.51,164.0,196.75,0.84,190.81,497.75,688.56,142.75,46.81,64.31,107.19,245.56,906.75,1
Bill Ligon,-0.4,0.1,-0.2,-0.04,-3.6,-3.5,-7.1,-0.4,55.0,143.0,0.38,0.0,3.0,0.33,55.0,143.0,0.38,0.38,16.0,25.0,0.64,14.0,12.0,26.0,25.0,8.0,9.0,13.9,31.0,126.0,0
Bill Martin,-0.17,0.3,0.1,-0.05,-6.3,-2.07,-8.33,-0.23,56.0,124.67,0.38,0.0,3.0,0.1,56.0,121.67,0.39,0.38,20.33,25.0,0.78,17.67,27.67,45.33,19.33,10.0,3.0,24.67,43.0,132.33,0
Bill Mayfield,0.0,0.0,0.0,0.0,-2.6,-3.8,-6.4,-0.1,8.0,18.0,0.44,0.0,0.0,0.31,8.0,18.0,0.44,0.44,1.0,2.0,0.5,7.0,2.0,9.0,1.0,0.0,1.0,3.0,8.0,17.0,0
Bill Robinzine,1.0,1.82,2.84,0.07,-1.41,-0.6,-2.02,0.37,286.33,595.44,0.47,4.11,14.67,0.23,286.0,593.89,0.47,0.47,154.11,204.67,0.74,139.89,275.89,415.78,75.33,70.89,10.33,109.49,248.67,727.11,2
Bill Turner,-0.3,0.24,-0.06,-0.1,-1.9,0.04,-1.78,0.0,27.0,75.8,0.34,3.0,11.2,0.22,27.0,75.8,0.34,0.34,12.2,17.4,0.65,63.0,136.2,45.4,10.4,25.4,21.0,14.24,24.6,66.2,0
Bill Walton*,1.46,2.46,3.93,0.12,-0.35,3.42,3.08,2.14,255.2,490.0,0.51,2.6,9.5,0.0,255.2,489.6,0.51,0.51,111.1,168.3,0.64,110.3,382.0,492.3,159.0,38.0,103.4,90.83,129.8,621.5,1
Bill Wennington,0.42,0.96,1.35,0.08,-3.34,-0.28,-3.63,-0.22,106.08,231.23,0.45,0.38,2.77,0.22,105.69,228.46,0.45,0.45,41.38,52.62,0.8,52.92,112.31,165.23,33.85,17.38,19.08,33.85,129.23,253.92,0
Bill Willoughby,0.61,0.82,1.45,0.07,-2.34,-0.15,-2.46,0.06,137.1,293.0,0.46,2.9,10.1,0.27,135.5,287.9,0.46,0.46,51.5,68.4,0.78,74.8,134.4,209.2,47.7,23.4,30.9,48.15,110.3,327.3,2
