,college,height,name,position,url,weight,3PA,3P%,3P,FGA,FG%,FG,FT%,FTA,FT,G,PTS,labels
3514,University of Louisville,6-3,LaBradford Smith,G,/players/s/smithla02.html,200.0,2.9,0.339,1.0,9.3,0.481,4.5,0.866,4.3,3.7,133.0,13.6,1
3515,Alcorn State University,6-8,Larry Smith,F-C,/players/s/smithla01.html,215.0,0.1,0.28800000000000003,0.0,12.1,0.591,7.2,0.633,5.2,3.3,77.0,17.6,3
3516,Brigham Young University,6-10,Michael Smith,F,/players/s/smithmi01.html,225.0,2.9,0.43,1.2,14.3,0.507,7.3,0.878,4.0,3.5,122.0,19.0,0
3517,Providence College,6-8,Michael Smith,F,/players/s/smithmi02.html,230.0,0.0,0.0,0.0,7.4,0.5539999999999999,4.1,0.6,6.0,3.6,94.0,11.8,3
3518,University of Louisiana at Monroe,6-8,Mike Smith,F,/players/s/smithmi03.html,195.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
3519,Duke University,6-2,Nolan Smith,G,/players/s/smithno01.html,185.0,3.2,0.368,1.2,10.4,0.448,4.7,0.8,3.6,2.9,143.0,13.4,1
3520,Jacksonville University,6-5,Otis Smith,G-F,/players/s/smithot01.html,210.0,0.2,0.28600000000000003,0.1,12.3,0.477,5.9,0.73,4.0,2.9,117.0,14.6,3
3521,University of San Francisco,6-4,Phil Smith,G,/players/s/smithph01.html,185.0,3.8,0.366,1.4,14.8,0.4970000000000001,7.3,0.685,5.1,3.5,84.0,18.1,0
3522,State University of New York College at Buffalo,6-3,Randy Smith,G-F,/players/s/smithra01.html,180.0,3.1,0.355,1.2,11.0,0.477,5.2,0.7375,3.8,2.7,103.0,13.9,1
3523,Texas Christian University,6-10,Reggie Smith,C,/players/s/smithre01.html,240.0,0.0,0.0,0.0,10.3,0.496,5.1,0.574,5.6,3.2,121.0,13.5,3
3524,"University of Nevada, Las Vegas",5-11,Robert Smith,G,/players/s/smithro01.html,165.0,3.8,0.366,1.4,8.2,0.491,4.0,0.878,2.7,2.3,92.0,10.4,1
3525,University of Louisville,6-0,Russ Smith,G,/players/s/smithru01.html,165.0,3.9,0.345,1.4,11.3,0.413,4.7,0.76,4.8,3.7,133.0,14.3,1
3526,Kentucky Wesleyan College,6-7,Sam Smith,F,/players/s/smithsa01.html,230.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
3527,"University of Nevada, Las Vegas",6-4,Sam Smith,G,/players/s/smithsa02.html,200.0,3.8,0.366,1.4,13.0,0.521,6.8,0.7390000000000001,3.0,2.2,60.0,15.7,1
3528,Michigan State University,6-7,Steve Smith,G,/players/s/smithst01.html,200.0,2.9,0.416,1.2,13.9,0.487,6.8,0.7559999999999999,5.0,3.8,122.0,18.5,0
3529,La Salle University,6-8,Steven Smith,F,/players/s/smithst03.html,235.0,3.3,0.326,1.1,14.3,0.463,6.6,0.794,4.9,3.9,107.0,18.1,0
3530,Arizona State University,6-2,Stevin Smith,G,/players/s/smithst02.html,208.0,7.7,0.363,2.8,11.0,0.408,4.5,0.773,3.6,2.7,115.0,14.5,1
3531,Ball State University,6-8,Theron Smith,F,/players/s/smithth01.html,225.0,3.2,0.37,1.2,11.7,0.479,5.6,0.725,5.1,3.7,99.0,16.2,1
3532,Marquette University,6-3,Tony Smith,G,/players/s/smithto02.html,185.0,1.1,0.43,0.5,10.4,0.521,5.4,0.785,4.5,3.6,114.0,14.8,3
3533,Syracuse University,7-0,William Smith,C,/players/s/smithwi01.html,220.0,0.0,0.25,0.0,7.4,0.5429999999999999,4.1,0.648,3.5,2.2,102.0,10.5,2
3534,University of Missouri,6-2,Willie Smith,G,/players/s/smithwi02.html,170.0,3.8,0.366,1.4,20.2,0.47,9.5,0.79,6.3,5.0,58.0,23.9,0
3535,Marist College,7-4,Rik Smits,C,/players/s/smitsri01.html,250.0,0.0,0.0,0.0,11.6,0.609,7.1,0.693,5.8,4.0,107.0,18.2,3
3536,Canisius College,7-0,Mike Smrek,C,/players/s/smrekmi01.html,250.0,0.0,0.25,0.0,6.4,0.578,3.7,0.603,2.9,1.7,108.0,9.1,2
3537,Niagara University,6-3,Joe Smyth,F,/players/s/smythjo01.html,215.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
3538,University of New Mexico,6-7,Tony Snell,G-F,/players/s/snellto01.html,200.0,4.2,0.38,1.6,7.1,0.421,3.0,0.821,1.9,1.6,104.0,9.2,1
3539,Michigan State University,6-3,Eric Snow,G,/players/s/snower01.html,190.0,0.7,0.263,0.2,4.6,0.521,2.4,0.459,2.0,0.9,113.0,5.9,2
3540,Davidson College,6-5,Dick Snyder,G-F,/players/s/snydedi01.html,207.0,3.1,0.355,1.2,11.0,0.477,5.2,0.7375,3.8,2.7,103.0,13.9,1
3541,"University of Nevada, Reno",6-6,Kirk Snyder,G,/players/s/snydeki01.html,225.0,4.1,0.31,1.3,13.3,0.426,5.7,0.677,6.0,4.1,84.0,16.7,0
3542,University of Notre Dame,6-0,Chips Sobek,G-F,/players/s/sobekch01.html,180.0,3.1,0.355,1.2,11.0,0.477,5.2,0.7375,3.8,2.7,103.0,13.9,1
3543,"University of Nevada, Las Vegas",6-3,Ricky Sobers,G,/players/s/soberri01.html,198.0,3.8,0.366,1.4,13.4,0.482,6.5,0.809,3.6,2.9,54.0,15.8,1
3544,DePaul University,6-3,Ron Sobie,G,/players/s/sobiero01.html,185.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
3545,University of Utah,6-9,Mike Sojourner,C-F,/players/s/sojoumi01.html,225.0,0.1,0.222,0.0,9.7,0.5455000000000001,5.15,0.6619999999999999,4.05,2.75,93.5,13.4,3
3546,Weber State University,6-8,Willie Sojourner,C-F,/players/s/sojouwi01.html,225.0,0.1,0.222,0.0,9.7,0.5455000000000001,5.15,0.6619999999999999,4.05,2.75,93.5,13.4,3
3547,Clemson University,6-1,Will Solomon,G,/players/s/solomwi01.html,185.0,6.2,0.366,2.3,12.7,0.392,5.0,0.7170000000000001,4.1,3.0,94.0,15.2,1
3548,Duquesne University,5-8,Willie Somerset,G,/players/s/somerwi01.html,170.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
3549,Wake Forest University,6-9,Darius Songaila,F,/players/s/songada01.html,248.0,0.3,0.343,0.1,9.6,0.511,4.9,0.831,5.3,4.4,130.0,14.3,3
3550,Ohio State University,6-8,Dave Sorenson,F,/players/s/sorenda01.html,225.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
3551,Syracuse University,6-8,James Southerland,F,/players/s/southja01.html,215.0,3.7,0.37,1.4,6.5,0.449,2.9,0.74,0.9,0.7,112.0,7.9,2
3552,University of Detroit Mercy,6-2,Gino Sovran,F-G,/players/s/sovragi01.html,175.0,2.4,0.36,0.9,11.6,0.496,5.8,0.7304999999999999,4.15,3.0,108.0,15.1,1
3553,"California State University, Fullerton",6-10,Pape Sow,F,/players/s/sowpa01.html,250.0,0.9,0.294,0.3,11.3,0.468,5.3,0.667,7.3,4.9,72.0,15.8,0
3554,University of Houston,6-9,Ken Spain,C,/players/s/spainke01.html,225.0,0.0,0.25,0.0,7.4,0.5429999999999999,4.1,0.648,3.5,2.2,102.0,10.5,2
3555,Duke University,6-5,Jim Spanarkel,G-F,/players/s/spanaji01.html,190.0,3.1,0.355,1.2,12.1,0.527,6.4,0.8059999999999999,6.1,4.9,114.0,17.6,0
3556,Weber State University,6-8,Daniel Sparks,F,/players/s/sparkda01.html,200.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
3557,University of Detroit Mercy,6-6,Guy Sparrow,F,/players/s/sparrgu01.html,218.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
3558,Villanova University,6-2,Rory Sparrow,G,/players/s/sparrro01.html,175.0,3.8,0.366,1.4,7.5,0.525,3.9,0.792,2.1,1.7,124.0,9.5,1
3559,Western Kentucky University,6-5,Odie Spears,G,/players/s/spearod01.html,205.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
3560,Villanova University,6-4,Art Spector,F,/players/s/spectar01.html,200.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
3561,University of Florida,6-10,Marreese Speights,C-F,/players/s/speigma01.html,255.0,0.0,0.222,0.0,6.2,0.633,4.0,0.688,2.3,1.6,69.0,9.5,2
3562,Northern Arizona University,6-6,Andre Spencer,F,/players/s/spencan01.html,210.0,0.1,0.5,0.0,9.9,0.601,5.9,0.64,4.3,2.7,55.0,14.6,3
3563,"University of Georgia, University of Nevada, Las Vegas",7-0,Elmore Spencer,C,/players/s/spencel01.html,270.0,0.0,0.0,0.0,7.5,0.603,4.5,0.516,3.1,1.6,70.0,10.6,2
3564,University of Louisville,7-0,Felton Spencer,C,/players/s/spencfe01.html,265.0,0.0,0.25,0.0,4.9,0.628,3.1,0.6759999999999999,3.9,2.6,134.0,8.7,2
3565,Syracuse University,6-2,Lou Spicer,F,/players/s/spicelo01.html,195.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
3566,Tulane University,7-0,Craig Spitzer,C,/players/s/spitzcr01.html,225.0,0.0,0.25,0.0,7.4,0.5429999999999999,4.1,0.648,3.5,2.2,102.0,10.5,2
3567,Western Kentucky University,6-9,Art Spoelstra,C,/players/s/spoelar01.html,220.0,0.0,0.25,0.0,7.4,0.5429999999999999,4.1,0.648,3.5,2.2,102.0,10.5,2
3568,University of Alabama,6-5,Latrell Sprewell,G,/players/s/sprewla01.html,190.0,2.7,0.399,1.1,10.1,0.499,5.0,0.74,3.2,2.3,68.0,13.5,1
3569,Howard University,6-7,Larry Spriggs,F,/players/s/sprigla01.html,230.0,0.9,0.333,0.3,12.0,0.521,6.2,0.569,3.8,2.2,83.0,14.9,3
3570,Rice University,6-2,Jim Spruill,G,/players/s/spruiji01.html,225.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
3571,University of South Carolina,6-11,Ryan Stack,F,/players/s/stackry01.html,215.0,1.4,0.362,0.5,4.8,0.473,2.3,0.69,2.2,1.5,120.0,6.5,2
3572,University of North Carolina,6-6,Jerry Stackhouse,G-F,/players/s/stackje01.html,218.0,1.6,0.355,0.6,10.3,0.496,5.1,0.72,6.7,4.9,69.0,15.7,0
3573,"College of the Holy Cross, Providence College",6-3,Kevin Stacom,G,/players/s/stacoke01.html,185.0,3.8,0.366,1.4,12.8,0.514,6.6,0.807,2.9,2.3,89.0,15.5,1
3574,Cheyney University of Pennsylvania,6-6,Erv Staggs,F-G,/players/s/stagger01.html,195.0,2.4,0.36,0.9,11.6,0.496,5.8,0.7304999999999999,4.15,3.0,108.0,15.1,1
3575,University of Kansas,6-5,Bud Stallworth,F-G,/players/s/stallbu01.html,190.0,2.4,0.36,0.9,11.6,0.496,5.8,0.7304999999999999,4.15,3.0,108.0,15.1,1
3576,Wichita State University,6-7,Dave Stallworth,F-C,/players/s/stallda01.html,200.0,0.1,0.28800000000000003,0.0,9.6,0.535,5.2,0.679,4.2,2.7,100.0,13.5,3
3577,Temple University,6-5,Terence Stansbury,G,/players/s/stanste01.html,170.0,3.8,0.366,1.4,12.7,0.456,5.8,0.76,4.9,3.7,115.0,15.7,1
3578,Oklahoma State University,6-3,John Starks,G,/players/s/starkjo01.html,180.0,3.6,0.38,1.4,10.3,0.4970000000000001,5.1,0.838,4.5,3.8,30.0,15.4,1
3579,University of Pittsburgh,6-6,Keith Starr,G-F,/players/s/starrke01.html,190.0,3.1,0.355,1.2,11.0,0.477,5.2,0.7375,3.8,2.7,103.0,13.9,1
3580,University of Michigan,6-6,Nik Stauskas,G,/players/s/stausni01.html,205.0,5.2,0.441,2.3,9.2,0.467,4.3,0.8320000000000001,3.9,3.2,75.0,14.1,1
3581,Thomas More College,6-7,Larry Staverman,F,/players/s/stavela01.html,205.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
3582,University of Kentucky,6-5,Larry Steele,G-F,/players/s/steella01.html,180.0,3.1,0.355,1.2,8.7,0.481,4.2,0.779,2.7,2.1,75.0,10.4,1
3583,Michigan State University,6-7,Matt Steigenga,F,/players/s/steigma01.html,225.0,0.6,0.41,0.3,7.5,0.54,4.1,0.725,2.8,2.1,124.0,10.5,2
3584,University of Memphis,6-5,D.J. Stephens,G-F,/players/s/stephdj01.html,188.0,0.4,0.37,0.1,2.6,0.627,1.6,0.633,1.0,0.6,129.0,4.0,2
3585,Purdue University,6-2,Everette Stephens,G,/players/s/stephev01.html,175.0,3.1,0.447,1.4,6.4,0.499,3.2,0.722,2.3,1.7,119.0,8.8,1
3586,University of Notre Dame,6-3,Jack Stephens,G-F,/players/s/stephja01.html,185.0,3.1,0.355,1.2,11.0,0.477,5.2,0.7375,3.8,2.7,103.0,13.9,1
3587,"University of Colorado, University of Arkansas at Little Rock",6-7,Joe Stephens,F,/players/s/stephjo01.html,210.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
3588,University of Cincinnati,6-5,Lance Stephenson,G-F,/players/s/stephla01.html,230.0,2.1,0.219,0.5,10.8,0.44,4.8,0.664,3.5,2.3,34.0,12.3,3
3589,"University of North Carolina, University of Southern California",6-10,Alex Stepheson,F,/players/s/stephal01.html,270.0,0.0,0.333,0.0,4.7,0.52,2.4,0.4970000000000001,2.1,1.0,137.0,5.9,2
3590,Georgia Institute of Technology,6-5,Brook Steppe,G-F,/players/s/steppbr01.html,195.0,3.1,0.355,1.2,10.3,0.516,5.3,0.7829999999999999,4.7,3.7,77.0,14.4,1
3591,Iowa State University,6-5,Barry Stevens,G-F,/players/s/steveba01.html,195.0,3.1,0.355,1.2,15.8,0.476,7.5,0.775,4.7,3.7,117.0,18.7,0
3592,University of Cincinnati,6-3,Wayne Stevens,F,/players/s/stevewa01.html,185.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
3593,University of Michigan,6-6,Dennis Stewart,F,/players/s/stewade01.html,220.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
3594,"University of Nevada, Las Vegas, California State University, Bakersfield",6-8,Kebu Stewart,F,/players/s/stewake01.html,239.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
3595,Coppin State University,6-8,Larry Stewart,F,/players/s/stewala01.html,220.0,0.0,0.333,0.0,11.5,0.6459999999999999,7.4,0.737,7.0,5.2,91.0,20.0,0
3596,University of California,6-10,Michael Stewart,C,/players/s/stewami01.html,230.0,0.0,0.25,0.0,3.4,0.51,1.7,0.487,1.7,0.8,117.0,4.3,2
3597,University of Missouri,6-5,Norm Stewart,F,/players/s/stewano01.html,205.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
3598,University of Wisconsin,6-11,Greg Stiemsma,C,/players/s/stiemgr01.html,260.0,0.0,0.0,0.0,2.0,0.545,1.1,0.759,0.6,0.5,95.0,2.7,2
3599,University of Missouri,6-11,Steve Stipanovich,C,/players/s/stipast01.html,245.0,0.0,0.25,0.0,10.3,0.5379999999999999,5.5,0.721,4.5,3.3,128.0,14.3,3
3600,University of Virginia,6-5,Bryant Stith,G,/players/s/stithbr01.html,208.0,2.5,0.353,0.9,13.5,0.483,6.5,0.789,6.7,5.3,131.0,19.2,0
3601,St. Bonaventure University,6-2,Sam Stith,G,/players/s/stithsa01.html,185.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
3602,St. Bonaventure University,6-5,Tom Stith,F,/players/s/stithto01.html,210.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
3603,"Creighton University, University of Colorado",6-8,Alex Stivrins,F,/players/s/stivral01.html,220.0,0.9,0.333,0.3,8.6,0.507,4.4,0.573,3.3,1.9,111.0,10.7,2
3604,Gonzaga University,5-11,David Stockton,G,/players/s/stockda01.html,165.0,1.7,0.306,0.5,3.8,0.424,1.6,0.7,1.5,1.1,138.0,4.8,2
3605,Gonzaga University,6-1,John Stockton,G,/players/s/stockjo01.html,170.0,3.8,0.366,1.4,8.6,0.5589999999999999,4.8,0.7190000000000001,4.1,2.9,107.0,12.5,1
3606,University of Arizona,7-0,Ed Stokes,C,/players/s/stokeed01.html,264.0,0.0,0.25,0.0,6.0,0.515,3.1,0.624,3.1,1.9,121.0,8.1,2
3607,University of Iowa,6-10,Greg Stokes,F-C,/players/s/stokegr01.html,220.0,0.1,0.28800000000000003,0.0,10.8,0.545,5.9,0.6459999999999999,4.6,3.0,120.0,14.7,3
3608,University of Tennessee,6-9,Jarnell Stokes,F-C,/players/s/stokeja01.html,263.0,0.0,0.0,0.0,8.9,0.53,4.7,0.628,5.6,3.5,87.0,13.0,3
3609,Saint Francis University,6-7,Maurice Stokes,F-C,/players/s/stokema01.html,232.0,0.1,0.28800000000000003,0.0,9.6,0.535,5.2,0.679,4.2,2.7,100.0,13.5,3
3610,University of Detroit Mercy,6-1,Art Stolkey,G,/players/s/stolkar01.html,180.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
3611,University of Maryland,6-11,Diamond Stone,C,/players/s/stonedi01.html,255.0,0.0,0.25,0.0,8.4,0.568,4.8,0.7609999999999999,3.8,2.9,35.0,12.5,3
3612,Marshall University,6-7,George Stone,F,/players/s/stonege01.html,195.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
3613,University of Texas at El Paso,6-6,Julyan Stone,G,/players/s/stoneju01.html,200.0,1.4,0.265,0.4,4.3,0.425,1.8,0.617,2.9,1.8,138.0,5.8,2
3614,"University of Illinois at Urbana-Champaign, Arizona State University",6-6,Awvee Storey,G-F,/players/s/storeaw01.html,222.0,0.1,0.2,0.0,8.1,0.459,3.7,0.613,2.5,1.5,102.0,9.0,2
3615,University of Arizona,5-10,Damon Stoudamire,G,/players/s/stoudda01.html,171.0,5.5,0.402,2.2,10.9,0.457,5.0,0.804,3.5,2.8,123.0,15.0,1
3616,University of Arizona,6-1,Salim Stoudamire,G,/players/s/stoudsa01.html,179.0,5.8,0.458,2.7,10.1,0.471,4.8,0.87,3.5,3.0,129.0,15.2,1
3617,Arizona State University,6-4,Paul Stovall,F,/players/s/stovapa01.html,215.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
3618,University of Maryland,6-5,D.J. Strawberry,G,/players/s/strawdj01.html,201.0,1.9,0.33,0.6,7.8,0.461,3.6,0.64,3.7,2.3,111.0,10.1,2
3619,Bradley University,6-10,Joe Strawder,C,/players/s/strawjo01.html,235.0,0.0,0.25,0.0,7.4,0.5429999999999999,4.1,0.648,3.5,2.2,102.0,10.5,2
3620,University of the Pacific,6-9,Bill Stricker,F,/players/s/stricbi01.html,210.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
3621,University of Nebraska,6-3,Erick Strickland,G,/players/s/stricer01.html,210.0,4.0,0.349,1.4,9.6,0.439,4.2,0.7759999999999999,3.4,2.7,127.0,12.5,1
3622,Temple University,6-9,Mark Strickland,F,/players/s/stricma01.html,210.0,0.0,0.0,0.0,6.4,0.509,3.2,0.414,2.3,1.0,95.0,7.5,2
3623,DePaul University,6-3,Rod Strickland,G,/players/s/stricro02.html,175.0,1.2,0.464,0.6,12.3,0.534,6.6,0.626,5.0,3.1,87.0,16.6,3
3624,Jacksonville University,6-5,Roger Strickland,F,/players/s/stricro01.html,200.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
3625,University of Montana,6-10,John Stroeder,F,/players/s/stroejo01.html,260.0,0.9,0.333,0.3,7.5,0.507,3.8,0.688,3.0,2.1,98.0,9.7,2
3626,Xavier University,6-8,Derek Strong,F,/players/s/stronde01.html,220.0,0.0,0.333,0.0,7.7,0.573,4.4,0.802,5.8,4.7,96.0,13.4,3
3627,Christopher Newport University,6-4,Lamont Strothers,G,/players/s/strotla01.html,190.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
3628,University of Mississippi,6-7,John Stroud,F,/players/s/stroujo01.html,215.0,0.9,0.333,0.3,15.4,0.527,8.1,0.777,6.3,4.9,110.0,21.2,0
3629,Mississippi State University,6-0,Red Stroud,G,/players/s/stroure01.html,160.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
3630,Eastern Washington University,6-5,Rodney Stuckey,G,/players/s/stuckro01.html,210.0,5.2,0.317,1.7,17.1,0.472,8.1,0.8059999999999999,8.1,6.5,59.0,24.4,0
3631,DePaul University,6-2,Gene Stump,F-G,/players/s/stumpge01.html,185.0,2.4,0.36,0.9,11.6,0.496,5.8,0.7304999999999999,4.15,3.0,108.0,15.1,1
3632,University of Rhode Island,5-10,Stan Stutz,G-F,/players/s/stutzst01.html,170.0,3.1,0.355,1.2,11.0,0.477,5.2,0.7375,3.8,2.7,103.0,13.9,1
3633,Midwestern State University,6-9,Gary Suiter,C-F,/players/s/suitega01.html,225.0,0.1,0.222,0.0,9.7,0.5455000000000001,5.15,0.6619999999999999,4.05,2.75,93.5,13.4,3
3634,Ohio State University,6-9,Jared Sullinger,F,/players/s/sullija01.html,260.0,0.7,0.365,0.3,11.5,0.53,6.1,0.733,6.7,4.9,74.0,17.3,0
3635,Georgetown University,6-8,DaJuan Summers,F,/players/s/summeda01.html,230.0,4.1,0.353,1.4,8.3,0.439,3.6,0.727,3.4,2.5,101.0,11.2,1
3636,"University of Louisville, Austin Peay State University",6-11,Barry Sumpter,F-C,/players/s/sumptba01.html,215.0,0.1,0.28800000000000003,0.0,9.6,0.535,5.2,0.679,4.2,2.7,100.0,13.5,3
3637,University of Illinois at Urbana-Champaign,6-1,Don Sunderlage,G,/players/s/sundedo01.html,180.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
3638,University of Missouri,6-2,Jon Sundvold,G,/players/s/sundvjo01.html,170.0,3.8,0.366,1.4,9.9,0.493,4.9,0.848,3.1,2.7,128.0,12.5,1
3639,Florida State University,6-5,Bob Sura,G,/players/s/surabo01.html,200.0,5.4,0.336,1.8,13.7,0.45,6.1,0.652,5.8,3.8,119.0,17.9,0
3640,Long Island University,6-4,Dick Surhoff,F,/players/s/surhodi01.html,210.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
3641,La Salle University,6-8,George Sutor,C,/players/s/sutorge01.html,235.0,0.0,0.25,0.0,7.4,0.5429999999999999,4.1,0.648,3.5,2.2,102.0,10.5,2
3642,Pepperdine University,6-3,Dane Suttle,G,/players/s/suttlda01.html,190.0,3.8,0.366,1.4,12.1,0.534,6.5,0.8140000000000001,4.0,3.2,105.0,16.2,1
3643,Oral Roberts University,6-2,Greg Sutton,G,/players/s/suttogr01.html,170.0,9.0,0.331,3.0,20.1,0.379,7.6,0.6559999999999999,5.6,3.7,28.0,21.9,0
3644,University of the Pacific,6-7,Keith Swagerty,F,/players/s/swageke01.html,235.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
3645,Texas Southern University,6-8,Bennie Swain,F,/players/s/swainbe01.html,220.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
3646,Purdue University,6-8,Caleb Swanigan,F,/players/s/swanica01.html,250.0,2.3,0.376,0.9,10.2,0.501,5.1,0.76,4.4,3.3,69.0,14.4,3
3647,University of Detroit Mercy,6-6,Norm Swanson,F,/players/s/swansno01.html,210.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
3648,Morehead State University,6-4,Dan Swartz,F,/players/s/swartda01.html,215.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
3649,Georgetown University,6-8,Mike Sweetney,F,/players/s/sweetmi01.html,275.0,0.0,0.0,0.0,11.6,0.544,6.3,0.727,7.7,5.6,96.0,18.2,0
3650,East Tennessee State University,6-3,Skeeter Swift,G,/players/s/swiftsk01.html,204.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
3651,Louisiana State University,6-9,Stromile Swift,F,/players/s/swiftst01.html,225.0,0.7,0.242,0.2,9.0,0.56,5.1,0.613,5.1,3.1,50.0,13.4,3
3652,Auburn University,6-5,Aaron Swinson,F,/players/s/swinsaa01.html,230.0,0.0,0.0,0.0,11.5,0.609,7.0,0.625,4.6,2.9,82.0,16.9,3
3653,Western Kentucky University,5-10,Buck Sydnor,G,/players/s/sydnobu01.html,175.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
3654,Xavier University,6-9,Larry Sykes,F,/players/s/sykesla01.html,255.0,0.0,0.0,0.0,4.5,0.511,2.3,0.54,2.2,1.2,105.0,5.8,2
3655,Augustana College (SD),6-11,Brett Szabo,C,/players/s/szabobr01.html,230.0,0.0,0.25,0.0,7.4,0.5429999999999999,4.1,0.648,3.5,2.2,102.0,10.5,2
3656,Miami University,6-7,Wally Szczerbiak,F,/players/s/szczewa02.html,244.0,4.5,0.431,1.9,12.5,0.512,6.4,0.809,3.5,2.9,105.0,17.6,1
3657,George Washington University,6-6,Walt Szczerbiak,F,/players/s/szczewa01.html,210.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
3658,Brigham Young University Hawaii,5-9,Yuta Tabuse,G,/players/t/tabusyu01.html,165.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
3659,University of Pittsburgh,6-10,Chris Taft,F,/players/t/taftch01.html,260.0,0.0,0.333,0.0,8.7,0.569,4.9,0.564,3.7,2.1,65.0,12.0,2
3660,New York University,6-0,Sid Tanenbaum,G,/players/t/tanensi01.html,160.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
3661,University of Michigan,6-11,Roy Tarpley,C-F,/players/t/tarplro01.html,230.0,0.1,0.222,0.0,9.9,0.522,5.2,0.774,3.6,2.8,122.0,13.1,3
3662,Bradley University,6-2,Levern Tart,G-F,/players/t/tartle01.html,195.0,3.1,0.355,1.2,11.0,0.477,5.2,0.7375,3.8,2.7,103.0,13.9,1
3663,Marquette University,6-5,Earl Tatum,G-F,/players/t/tatumea01.html,185.0,3.1,0.355,1.2,11.0,0.478,5.3,0.698,2.1,1.4,103.0,12.0,1
3664,Duke University,6-8,Jayson Tatum,F,/players/t/tatumja01.html,205.0,4.0,0.342,1.4,12.6,0.452,5.7,0.8490000000000001,4.8,4.1,29.0,16.8,0
3665,University of Oregon,6-4,Anthony Taylor,G,/players/t/tayloan01.html,175.0,2.6,0.403,1.0,13.2,0.47,6.2,0.795,5.0,3.9,115.0,16.9,1
3666,Princeton University,6-2,Brian Taylor,G,/players/t/taylobr01.html,185.0,3.8,0.366,1.4,19.5,0.51,9.9,0.763,5.8,4.4,51.0,24.3,0
